season,episode,title,director,release_date,all_cast,Rating,number_of_reviews,short_summary
1,11, The One with Mrs. Bing ,James Burrows , 5 January 1995,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Cosimo Fusco', 'James Michael Tyler', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Morgan Fairchild', 'David Sederholm', 'Jay Leno']",8.2,4049,"Chandler's flamboyant romance-novelist mother comes to visit, and Joey catches her kissing Ross. Meanwhile, Monica and Phoebe fight over a guy in a coma."
1,12, The One with the Dozen Lasagnas ,Paul Lazarus , 12 January 1995,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Jessica Hecht', 'Cynthia Mann', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Jane Sibbett', 'Cosimo Fusco', 'Jo Jean Pagano', 'James Michael Tyler']",8.2,3978,Rachel and Paolo's relationship hits a snag when he makes a pss at Phoebe. Ross refuses to find out the sex of his baby until it's born. Chandler and Joey go shopping for a new kitchen table.
1,13, The One with the Boobies ,Alan Myerson , 19 January 1995,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Lee Garlington', 'Brenda Vaccaro', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Robert Costanzo', 'Fisher Stevens']",8.7,4225,Joey finds out his dad has a mistress. Rachel tries to even the score after Chandler inadvertently catches a glimpse of her breasts. Phoebe dates a shrink who analyzes the gang.
1,14, The One with the Candy Hearts ,James Burrows , 9 February 1995,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Jessica Hecht', 'Nancy Valen', 'Jay Acovone', 'Maggie Wheeler', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Jane Sibbett', 'Heather Medway', 'Larry Poindexter', 'Joel Gretsch']",8.3,3919,"As Valentine's Day approaches; Ross and his date end up at the same restaurant as Carol and Susan, Joey inadvertently sets Chandler up on a blind date with Janice, and the girls burn mementos of their old boyfriends."
1,15, The One with the Stoned Guy ,Alan Myerson , 16 February 1995,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Jon Lovitz', 'James Michael Tyler', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Melora Hardin', 'Fritzi Burr', 'Katie']",8.2,3962,"Monica cooks a gourmet meal for a restaurateur who is looking for a new chef, however he arrives at the apartment stoned. Meanwhile, Ross tries to master 'dirty talk'."
1,16, The One with Two Parts: Part 1 ,Michael Lembeck , 23 February 1995,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Jane Sibbett', 'Larry Hankin', 'Michele Lamar Richards', 'Helen Hunt', ""Patrick O'Bell"", 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Dorien Wilson', 'Jessica Hecht', 'Jennifer Grant', 'Leila Kenzle', 'Patty Tiffany', 'Katie', 'James Michael Tyler']",8.2,3885,Phoebe feels neglected when Joey falls for her twin sister. Chandler struggles to fire an attractive co-worker. Ross attends Lamaze classes with Carol and Susan.
1,17, The One with Two Parts: Part 2 ,Michael Lembeck , 23 February 1995,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Alaina Reed-Hall', 'Noah Wyle', 'Katie', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Elliott Gould', 'George Clooney', 'Baillie Gerstein', 'James Michael Tyler']",8.5,3937,"Rachel switches identities with Monica so she can use her health insurance. Meanwhile, Ursula continues to come between Phoebe and Joey."
1,18, The One with All the Poker ,James Burrows , 2 March 1995,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'James Michael Tyler', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Beverly Garland', 'Katie']",8.8,4395,"As Rachel interviews for a new job, the girls take on the guys in a game of poker."
1,19, The One Where the Monkey Gets Away ,Peter Bonerz , 9 March 1995,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Megan Cavanagh', 'Angela Visser', 'James Michael Tyler', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Mitchell Whitfield', 'Larry Hankin', 'Elizabeth Sjoli', 'Katie']",8.1,3783,The gang frantically search for Ross's monkey Marcel after Rachel loses him.
1,20, The One with the Evil Orthodontist ,Peter Bonerz , 6 April 1995,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Mitchell Whitfield', 'Christopher Miranda', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Jennifer Grey', 'Lynn Clark', 'James Michael Tyler']",7.9,3783,"Rachel and Barry start dating again, despite the fact that he's now engaged to Mindy; Chandler goes nuts when a woman he likes won't return his phone calls."
1,21, The One with the Fake Monica ,Gail Mancuso , 27 April 1995,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Karla Tamburrelli', 'Philip Rayburn Smith', 'Katie', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Claudia Shear', 'Harry Shearer', 'Anthony Backman', 'James Michael Tyler']",7.9,3820,Monica befriends the woman who stole her credit card. Ross is forced to give away Marcel. Joey tries to come up with a less ethnic-sounding stage name.
1,22, The One with the Ick Factor ,Robby Benson , 4 May 1995,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Brian Buckner', 'James Michael Tyler', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Stan Kirsch', 'Darryl Sivad', 'Anthony Backman']",8.3,3774,Monica gets a shock when she finds out her boyfriend is a high school student. Chandler finds out his colleagues don't like him when Phoebe temps as his secretary.
1,23, The One with the Birth ,James Burrows , 11 May 1995,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Jane Sibbett', 'Leah Remini', 'Carlo Imperato', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Jonathan Silverman', 'Jessica Hecht', 'June Gable', 'Jackie Bright']",8.7,3971,"As Carol goes into labor; Ross and Susan argue, Rachel flirts with Carol's doctor, and Joey assists a pregnant single mother."
1,24, The One Where Rachel Finds Out ,Kevin Bright (as Kevin S. Bright)    , 18 May 1995,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Corinne Bohrer', 'Kerrie Klark', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Lauren Tom', 'Tommy Blaze', 'Jack Riley']",8.9,4239,"As Ross leaves for China, Chandler accidentally reveals Ross's feelings for Rachel. Joey takes part in a fertility study and is unable to sleep with his new girlfriend."
2,1, The One with Ross's New Girlfriend ,Michael Lembeck , 21 September 1995,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Cosimo Fusco', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Lauren Tom', 'Buck Kartalian', 'Tony Sagastizado I']",8.5,3866,"Rachel waits for Ross at the airport, unaware he has a new girlfriend. Meanwhile, Chandler has a frightening experience with Joey's tailor, and Phoebe gives Monica a bad haircut."
2,2, The One with the Breast Milk ,Michael Lembeck , 28 September 1995,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Jane Sibbett', 'Joel Beeson', 'Richard Lyons', 'Lou Wills', 'James Michael Tyler', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Lauren Tom', 'Jessica Hecht', 'Emily Procter', 'Stan Sellers', 'Alex Spencer']",8.2,3720,"Monica goes shopping with Julie and tries to keep it a secret from Rachel. Ross is grossed out by Carol's breast milk. At his day job, Joey competes with a fellow cologne spritzer."
2,3, The One Where Heckles Dies ,Kevin Bright (as Kevin S. Bright)    , 5 October 1995,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Mike Hagerty', 'Maggie Wheeler', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Larry Hankin', 'Danny Dayton']",8.4,3727,"After Mr. Heckles dies and leaves all his belongings to Monica and Rachel, Chandler worries he will die alone just like him. Meanwhile, Phoebe and Ross argue over evolution."
2,4, The One with Phoebe's Husband ,Gail Mancuso , 12 October 1995,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Steve Zahn', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Lauren Tom', 'Janice Davies', 'James Michael Tyler']",8.0,3609,"When the gang find out Phoebe married a gay Canadian ice dancer for a green card, more of their secrets are revealed. Meanwhile, Rachel gives Ross bad advice on his relationship with Julie."
2,5, The One with Five Steaks and an Eggplant ,Ellen Gittelsohn , 19 October 1995,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Chris Young', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Brittney Powell', 'Spencer Cherashore', 'James Michael Tyler']",8.3,3607,"The gang are divided by income issues; Monica, Ross and Chandler have money, and Rachel, Phoebe and Joey don't."
2,6, The One with the Baby on the Bus ,Gail Mancuso , 2 November 1995,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Max Wright', 'Catherine Bell', 'Jennifer Sommerfeld', 'Lea Thompson', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Chrissie Hynde', 'Victor Raider-Wexler', 'Hugh Dane', 'Giovanni Ribisi', 'James Michael Tyler']",8.6,3872,"Joey and Chandler are left to babysit Ben when Monica takes Ross to the hospital. Meanwhile, Phoebe loses her singing gig at Central Perk to a professional singer."
2,7, The One Where Ross Finds Out ,Peter Bonerz , 9 November 1995,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Arye Gross', 'Marcus Jacques', 'James Michael Tyler', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Lauren Tom', 'Barry Diamond', 'Fritzi Burr']",9.0,4384,"A drunken Rachel calls Ross and reveals her feelings for him on his answering machine. Meanwhile, Monica keeps busy by being Chandler's personal trainer and Phoebe constantly wonders why her current boyfriend won't sleep with her."
2,8, The One with the List ,Mary Kay Place , 16 November 1995,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Michael McKean', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Lauren Tom', 'James Michael Tyler']",8.5,3633,"With help from Chandler and Joey, Ross makes a list of pros and cons to decide whether to be with Julie or Rachel. Meanwhile, Monica gets a job making dessert with a disgusting synthetic chocolate substitute."
2,9, The One with Phoebe's Dad ,Kevin Bright (as Kevin S. Bright)    , 14 December 1995,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Mike Hagerty', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Audra Lindley', 'James Michael Tyler']",8.0,3494,"Phoebe tracks down her father, but isn't sure whether she should meet him. Ross asks Rachel to make a list of pros and cons about him."
2,10, The One with Russ ,Thomas Schlamme , 4 January 1996,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Vincent Ventresca', 'Scott Stewart', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Lauren Tom', 'June Gable', 'Darin Mangan']",8.0,3643,Monica gets back together with 'Fun Bobby' and realizes why he is always so upbeat. Rachel starts dating a guy called Russ who bears an uncanny resemblance to Ross.
2,11, The One with the Lesbian Wedding ,Thomas Schlamme , 18 January 1996,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Jane Sibbett', 'Phil Leeds', 'Symba', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Marlo Thomas', 'Jessica Hecht', 'Candace Gingrich', 'Lea DeLaria']",8.1,3575,Rachel's mom comes to visit with big news. Monica caters Carol and Susan's wedding. Phoebe becomes 'possessed' by the spirit of a recently deceased client.
2,12, The One After the Superbowl: Part 1 ,Michael Lembeck , 28 January 1996,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Brooke Shields', 'Fred Willard', 'Sean Masterson', 'Lawrence A. Mandley', 'Karman Kruschke', 'David Crane', 'Katie', 'Thomas James Kepner', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Chris Isaak', 'Dan Castellaneta', 'Roark Critchlow', 'Tahj Mowry', 'D. Elliot Woods', 'Kevin Bright', 'Jim Cummings', 'Marta Kauffman']",8.6,3772,Ross goes to visit Marcel whilst on a trip to California and discovers he is working in commercials. Joey receives a fan letter from an attractive but unstable woman. Phoebe is asked to sing for children at a library.
2,13, The One After the Superbowl: Part 2 ,Michael Lembeck , 28 January 1996,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Jean-Claude Van Damme', 'Seth Isler', 'David Crane', 'Marta Kauffman', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Julia Roberts', 'Lisa Roberts Gillan', 'Steven M. Porter', 'Kevin Bright', 'Katie']",8.8,3910,"Ross finds Marcel on the set of a new movie, where Chandler bumps into a former schoolmate. Meanwhile, Rachel and Monica compete for the affections of Jean-Claude Van Damme."
2,14, The One with the Prom Video ,James Burrows , 1 February 1996,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Patrick Kerr', 'Michael Bower', 'Tim Bohn', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Elliott Gould', 'Christina Pickles', 'Lou Thornton']",9.4,5797,The gang watches a home video from the night of Monica and Rachel's prom. Joey gives Chandler a hideous bracelet.
2,15, The One Where Ross and Rachel... You Know ,Michael Lembeck , 8 February 1996,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Tom Selleck']",8.9,3976,Monica becomes infatuated with a friend of her parents when she caters a party for him. Ross and Rachel go on their first date. Joey and Chandler refuse to move when they get a new TV and two armchairs.
2,16, The One Where Joey Moves Out ,Michael Lembeck , 15 February 1996,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Audrie Neenan', 'Christina Pickles', 'Josie DiVincenzo', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Tom Selleck', 'Elliott Gould', 'Warren Berlinger', 'Stephen Samuels']",8.6,3482,Joey and Chandler's friendship is jeopardized when Joey decides to move out. Monica worries about her parents finding out about her relationship with Richard when they attend a party together. Rachel and Phoebe go to get tattoos.
2,17, The One Where Eddie Moves In ,Michael Lembeck , 22 February 1996,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'DeeDee Rescher', 'Linda Lutz', 'Paxton Culpepper', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Adam Goldberg', 'Barry Heins', 'Willie Basse', 'James Michael Tyler']",8.3,3456,"Chandler gets a new roommate. Phoebe gets the chance to make a music video for her song ""Smelly Cat"". Ross and Monica clash when he is always at her and Rachel's apartment."
2,18, The One Where Dr. Ramoray Dies ,Michael Lembeck , 21 March 1996,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Adam Goldberg', 'Mary Gallagher', 'Brian Posehn', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Tom Selleck', 'Roark Critchlow', 'Vanessa Sandin', 'James E. Reilly', 'James Michael Tyler']",8.5,3451,"Joey's soap opera character is killed off after he brags in an interview that he writes his own lines. Chandler is unnerved by Eddie's strange behavior, while Ross and Rachel compare their past lovers as do Richard and Monica."
2,19, The One Where Eddie Won't Go ,Michael Lembeck , 28 March 1996,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'June Gable', 'Jason Graae', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Adam Goldberg', 'James Michael Tyler', 'Tim Hutchinson']",8.6,3543,"Chandler demands that Eddie move out; however, he doesn't seem to get the message. Meanwhile, a book on empowerment for women inspires the girls. In order to pay his bills, Ross convinces Joey to audition for a role he doesn't want."
2,20, The One Where Old Yeller Dies ,Michael Lembeck , 4 April 1996,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Jane Sibbett', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Tom Selleck', 'Jessica Hecht', 'James Michael Tyler']",8.2,3339,Phoebe's world view is shattered when she learns how Old Yeller really ends. Monica becomes jealous when Richard starts hanging out with Chandler and Joey. Rachel panics when she learns that Ross has planned their whole life together.
2,21, The One with the Bullies ,Michael Lembeck , 25 April 1996,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Nicky Katt', 'Laraine Newman', 'Richard Saxton', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Peter DeLuise', 'Giovanni Ribisi', 'James Michael Tyler', 'Jill Melody']",8.2,3383,Chandler and Ross run into two bullies at Central Perk. Monica tries her luck at the stock market to avoid taking a job at a 1950s themed diner. Phoebe drives upstate for a second time to meet her father while Joey and Rachel accompany her.
2,22, The One with the Two Parties ,Michael Lembeck , 2 May 1996,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Ron Leibman', 'Nancy Rubin', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Marlo Thomas', 'James Michael Tyler', 'Lewis Dix Jr.']",9.0,4210,"Chaos ensues when Rachel's recently divorced parents show up at her surprise birthday party, so the gang has to find ways to keep her parents separated otherwise they'll start fighting."
2,23, The One with the Chicken Pox ,Michael Lembeck , 9 May 1996,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Dorien Wilson', 'Mary-Pat Green', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Tom Selleck', 'Charlie Sheen', 'Steve Park']",8.1,3403,Phoebe catches chicken pox just as an old flame arrives in town on leave from the Navy. Joey gets a job at Chandler's office. Monica is upset that Richard doesn't have any quirks.
2,24, The One with Barry and Mindy's Wedding ,Michael Lembeck , 16 May 1996,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Maggie Wheeler', 'Jana Marie Hupp', 'Jackie Bright', 'Mindy Sterling', 'Richard Lawrence', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Tom Selleck', 'Mitchell Whitfield', 'Peter Spears', 'Fritzi Burr', 'Paxton Culpepper']",8.2,3381,Rachel reluctantly agrees to be maid of honor at her ex-fiancé Barry's wedding. Monica ponders her future with Richard. Joey has to practice kissing guys to get a role in Warren Beatty's new movie but Ross and Chandler are unwilling to help him.
3,1, The One with the Princess Leia Fantasy ,Gail Mancuso , 16 September 1996,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Christina Pickles', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Maggie Wheeler', 'Elliott Gould']",8.4,3533,Monica suffers from insomnia and depression following her breakup with Richard. Joey struggles to accept Chandler and Janice's relationship. Ross confides in Rachel about one of his fantasies.
3,2, The One Where No One's Ready ,Gail Mancuso , 26 September 1996,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Peter Dennis', 'Tom Selleck']",9.0,4701,"A stressed Ross desperately and insistently tries to get the rest of the gang ready for a black tie event at the museum, while Joey and Chandler clash over personal belongings and personal space."
3,3, The One with the Jam ,Kevin Bright , 3 October 1996,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Maggie Wheeler', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'David Arquette', 'James Michael Tyler']",8.1,3370,Monica tries to get over Richard by using her free time to make jam and considers artificial insemination through a sperm bank. Phoebe is stalked by a man who mistakes her for Ursula.
3,4, The One with the Metaphorical Tunnel ,Steve Zuckerman , 10 October 1996,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Jessica Hecht', 'Charles Thomas Allen', 'Edo Azran', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Jane Sibbett', 'Maggie Wheeler', 'John Christopher Allen', 'Sierra Dawn Hill', 'James Michael Tyler']",8.1,3242,Chandler tries to get over his fear of commitment. Phoebe poses as Joey's agent after she forgets to tell him about an audition. Ross panics after seeing Ben play with a Barbie doll and tries to convince him to play with more manly toys.
3,5, The One with Frank Jr. ,Steve Zuckerman , 17 October 1996,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Giovanni Ribisi', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Isabella Rossellini', 'Cynthia Mann', 'James Michael Tyler']",8.1,3337,Phoebe has trouble bonding with her half-brother Frank when he comes to visit. Joey attempts to build an entertainment center. Ross is challenged to name the five celebrities he'd like to sleep with most.
3,6, The One with the Flashback ,Peter Bonerz , 31 October 1996,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'John Lehr', 'Marissa Ribisi', 'Christy L. Medrano', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Larry Hankin', 'Michele Maika', 'Maggie Wheeler']",9.1,4349,"The gang remember the events three years ago, when several of them almost slept together."
3,7, The One with the Race Car Bed ,Gail Mancuso , 7 November 1996,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Khalil Kain', 'Mark Cohen', 'James Michael Tyler', 'Shashi Bhatia', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Ron Leibman', 'Maggie Wheeler', 'Andre Rosey Brown', 'Simon Harvey', 'Steven Harad', 'Dan Martin']",8.3,3278,"Joey becomes a learning extension teacher in soap acting, and loves the respect from even more clueless kids. Monica chooses a ridiculously cheap bed from Janice's ex; Phoebe signs for her ...                    See full summary »"
3,8, The One with the Giant Poking Device ,Gail Mancuso , 14 November 1996,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Maggie Wheeler', 'John Christopher Allen', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'James Michael Tyler', 'Charles Thomas Allen', 'Jon Haugen']",8.4,3298,Chandler is devastated after Joey tells him he saw Janice kissing her ex-husband. Monica accidentally bumps Ben's head into a post when she and Rachel babysit. Phoebe is paranoid if she goes to dentist someone she knows will die.
3,9, The One with the Football ,Kevin Bright (as Kevin S. Bright)    , 21 November 1996,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Susanna Midnight']",9.0,4645,"Old sibling rivalry between Monica and Ross resurfaces and postpones Thanksgiving dinner when the gang decide to play a game of ""touch"" football."
3,10, The One Where Rachel Quits ,Terry Hughes , 12 December 1996,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Shelley Berman', 'Kyla Pratt', 'Sandra Gould', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Mae Whitman', 'James Michael Tyler', 'Romy Rosemont', 'Gene Crane', 'Julie Grady Thomas']",8.1,3308,Ross accidentally breaks a little girl's leg and tries to help her sell boxes of cookies which recreates Monica's childhood fixation. Rachel quits her job at Central Perk and Joey's Christmas tree selling conflicts with Phoebe's principles.
