rachel_good,rachel_bad,ross_good,ross_bad
"here, kitty-kitty. here kitty-kitty. where did you go, little kitty-kitty-kitty? here kitty-kitty-kitty-kitty...",why are- why are you so tanned?,"ok. here goes. for a while now, i've been wanting to, um....",mm.
wow.,oh no. you went on our honeymoon alone?,"yes, yes, that's right...","well, you may wanna steer clear of the word 'dumped'. chances are he's gonna be this, this broken shell of a man, y'know, so you should try not to look too terrific, i know it'll be hard. or, y'know, uh, hey!, i'll go down there, and i'll give barry back his ring, and you can go with carol and susan to the ob/gyn..."
"everybody, this is paolo. paolo, i want you to meet my friends. this is monica.","mindy?! my maid of honour, mindy?!","what? ow! monica, joey, and",got me.
and joey....,"oh! well, um.. you've got plugs!",why don't we just put 'poor little tooty' out in the hall?,yeah.
and ross.,and you've got lenses! but you hate sticking your finger in your eye!,yeah?,"yes, yes!"
he doesn't speak much english.,okay..,lucky sixes....,me either...
look at that!,wow.,"so, um... where did paolo come from?","sorry i'm late, i was stuck at work. there was this big dinosaur.. thing.. anyway."
"oh... italy, i think.",what?,"no, i mean tonight, in the building. suddenly. into our lives.",how could i forget?
"well, the cat... the cat turned out to be paolo's cat!","anyway, um, i guess this belongs to you. and thank you for giving it to me.","that, that is funny... .... and rachel keeps touching him.","hello, susan. good shake. good shake. so, uh, we're just waiting for...?"
"oh, i found him. he was paolo's cat.","hi, mindy. hi, it-it's rachel. yeah, i'm fine. i-i saw barry today. oh, yeah, yeah he-he told me. no, no, it's okay. i hope you two are very happy, i really do. oh, oh, and mind, y'know, if-if everything works out, and you guys end up getting married and having kids- and everything- i just hope they have his old hairline and your old nose. okay, i know it was a cheap shot, but i feel so much better now.","blah blah blah, blah blah blah... blah blaaaaaah....",..dr. oberman. okay. and is he-
"ah, paolo, this is phoebe.","what? he said 'we should do it again', that's good, right?",wha-what did he say that was so funny?,"-she, of course, she- uh- familiar with our.. special situation?"
i have absolutely no idea.,since when?,that's... that's classic.,"okay, that's great. no, i'm- oh."
"oh my god, you guys, what am i doing? what am i doing? this is so un-me!",and everybody knows this?,paolo. hi.,"quack, quack.."
"god, the first time he smiled at me... those three seconds were more exciting than three weeks in bermuda with barry.","alright, don't tell me, don't tell me! decaf cappucino for joey.. coffee black.. late.. and an iced tea. i'm getting pretty good at this!","listen. um, listen. something you should... know... um, rachel and i... we're kind of a thing.","so, um- so how's this, uh, how's this gonna work? y'know, with us? y'know, when, like, important decisions have to be made?"
"y'know, i know it's totally superficial and we have absolutely nothing in common, and we don't even speak the same language but goooooooddddddd....",good for me!,"thing, yes. thing.","well, uh, uh, i don't know, okay, okay, how about with the, uh, with the baby's name?"
"that is it ! you just barge in here, you don't knock","yeah, but if you spent it, it would be like shopping!","no, no, no. technically the... sex is not... being had, but that's... see, that's not the point. see, um, the point is that... rachel and i should be, er, together. you know, and if you get in the.... um...",marlon?!
you have no respect for anybody's privacy!,"chandler, what are you doing?","no, no, that's not where i was going. er, if you get in the... way , of us becoming a thing, then i would be, well, very sad.",...as in mouse?
"no, you wait! this is ridiculous!",this alan again? how's it goin'?,yeah! se vice ?,"still, you- you say minnie, you hear mouse. um, how about, um.. how about julia?"
what? what?!,"well, then can we meet him?",so you do know a little english.,"'s'funny, um, uh, we agreed we'd spend the rest of our lives together. things change, roll with the punches. i believe julia's on the table..?"
oh!!,what bank is this?,do you know the word crapweasel ?,helen geller? i don't think so.
he's so cute! and he seems to like you so much.,and did you notice...?,"that's funny, because you know, you are a huge crapweasel!",thank you!
okaaay. any of you guys want anything else?,"what future boyfriends? nono, i th- i think this could be, y'know, it.",thank you.,"what, it's gonna be helen willick?"
"no, i'm sorry, we're all out of those. anybody else?","i mean, it-it was like, it was like he made us into a team.",kinda... spooky without any lights.,"well, wait a minute, wha- why is she in the title?"
"okay, okay, could we change the subject, please?","well, no. that's impossible. you can never be too alan.","ok, guys, guys? i have the definitive one. mwwwooooo-hah-hah...","oh, 's'funny, really? um, i don't remember you making any sperm."
"okay, pheebs, i was hoping for more of a change.",it's worse than the thumb!,oh.. oh... oh.,"no no no, she gets a credit, hey, i'm in there too."
"nice? they were nice. i mean, that's it? i mean, mittens are nice.","well, i-i could live without it.",you what? wh what were you doing seeing her boobies?,"of course not, i'm... suggesting geller-willick-bunch."
"i know, i mean, why can't parents just stay parents? why do they have to become people? why do they have... why can't you stop staring at my breasts?","""indeed there isn't""... i should really get back to work.","alright, alright. we're all adults here, there's only one way to resolve this. since you saw her boobies, i think, uh, you're gonna have to show her your peepee.","my way?! you-you think this is my way? believe me, of all the ways i ever imagined this moment in my life being, this is not my way- y'know what? uh, um, this is too hard. i'm not, i can't do-"
did you not get a good enough look the other day?,"ohh-ho-hooohhh. the hair comes out, and the gloves come on.",yeah.,"you- uh- y'know what, i'm gonna go. i don't- i don't think i can be involved in this particular thing right now."
"c'mon, he's right. tit for tat.","chandler? it's alan, he wants to speak to you.","what, so he was a little analytical. that's what he does, y'know? c'mon, he's not that bad.",oh my god.
"you're right! i mean you're right! it wasn't just the weebles, but it was the weeble play palace, and and the weebles' cruise ship. oh, which had this little lifeboat for the weebles to wobble in.","god, he's good.","y'see, that's where you're wrong. why would i marry her if i thought on any level thatthat she was a lesbian?",well? isn't that amazing?
"hi, i'm rachel.",yeah.,why? why would i why? why? why? why?,"then don't do that, alright?"
bathroom's up there.,i think he's across the hall.,that that's ridiculous! i don't feel guilty for her failures!,monica. whaddya think?
"hey, listen, ronni, how long would you say chandler's been in the shower?","uh, joey..","nonono, thatthat's not what i was saying...",wh- are you welling up?
"perfect. fasten your seatbelts, it's peepee time. hey, mr. trib.",we didn't change..,"hey, i married a lesbian to make you look good!","you are, you're welling up."
chandler bing? it's time to see your thing.,"i just can't believe this! i mean, with the holidays coming up- i wanted him to meet my family-","i dunno, there's just something about...",you're gonna be an aunt.
i thought it was chandler!,remember when we went to central park and rented boats?.. that was fun.,"we're sorry, pheebs, we're sorry.","hey. oh, oh, how'd it go?"
you were supposed to be in there so i could see your thing!,"see, there's always one guy. ""if i had a wish, i'd wish for three more wishes.""","so joey, you okay?","that's funny, that, no, because, uh, our parents actually did, uh, send our dog off to live on a farm."
we hate that guy.,"look-look-look-look-look, my first pay check! look at the window, there's my name! hi, me!","uh, rach, we're running low on resumes over here.","what? wh- hello? the millners' farm in connecticut? the millners, they had this unbelievable farm, they had horses, and, and rabbits that he could chase and it was- it w- .....oh my god, chi chi!"
we're sorry.,"god, isn't this exciting? i earned this. i wiped tables for it, i steamed milk for it, and it was totally— —not worth it. who's fica? why's he getting all my money? i mean, what- chandler, look at that.","rach, did you proofread these?",can i use.. either thumb?
wow.,what are you guys doing here?,"uh, nothing, i'm sure they'll be impressed with your excellent compuper skills.",easy.
"just think, in a couple of years we get to turn into them.","look at you, you are so big i can't believe it!",ler and ross hey.,what is this?!
what happened?,so what's going on with you?,i don't know.,"hold on a second, alright? just think about what you went through the last time you quit."
"hey, look, you guys, i'm going for anything here, ok? i cannot be a waitress anymore, i mean it. i'm sick of the lousy tips, i'm sick of being called 'excuse me...'","so c'mon, you guys, tell me all the dirt!","no, it's not just that. it's just—i want someone who... who does something for me, y'know? who gets my heart pounding, who... who makes me, uh...","yeah, well, you didn't know chi chi."
"uh... yeah, why?",okay.,what?,"hey, pheebs."
"oh my goood! oh, do you think it's on all of them?","what? guys, i'm not.",who?,"...i'll go. let's start with the way he kept picking at- no, i'm sorry, i can't do this, can't do this. we loved him."
"hey... hi, ladies... uh, can i get you anything? did you bring the mail?",i'm not! this is what i'm doing now. i've got this job-,"look, i am totally, totally over her, ok, i just... hiiii!",...what shoe?
"really? sure, we have scones left! ok, read them to me.","okay, i'm not just waitressing. i'm.. i, um... i write the specials on the specials board, and, uh... and i, uh... i take the uh dead flowers out of the vase... oh, and, um, sometimes artelle lets me put the little chocolate blobbies on the cookies.","we're fine, we're fine.",...so i think alan will become the yardstick against which all future boyfriends will be measured.
we have apple cinnamon...,what's that?,uhhhh... joey cried last night.,"you know what i like most about him, though?"
what?,okay.,"oh, guys, you should've seen him. 'read 'em and weep.'",the way he makes me feel about myself.
give me that!,"oh, god, ask them what they want.","no, women are welcome to play.",well..
hi! how are you?,but i haven't used my card in weeks!,"excuse me, do any of you know how to play?","he was unbelievable. he was like that-that-that bugs bunny cartoon where bugs is playing all the positions, right, but instead of bugs it was first base-alan, second base-alan, third base-..."
ok.,"they wanna know if i'm okay. okay.. they wanna know if i'm okay, okay, let's see. well, let's see, the fica guys took all my money, everyone i know is either getting married, or getting promoted, or getting pregnant, and i'm getting coffee! and it's not even for me! so if that sounds like i'm okay, okay, then you can tell them i'm okay, okay?","no. no, uh, phoebs? you can't—you can't do...",what?
"well, now, how come you guys have never played poker with us?","alright, c'mon! let's play twister !","no, no. uh... no, see, uh, you-you can't do that.","yeah, it's his, uh, innate alan-ness that-that-that we adore."
really.,"monica, what is so amazing? i gave up, like, everything. and for what?","oh, you're...",a thumb ?!
but you could teach us.,...jack from downstairs?,"alright, now, you sure? phoebe just threw away two jacks because they didn't look happy...","oh, now, don't listen to him, pheebs, i think it's endearing."
"oh, good for you!","okay, but pheebs, pheebs, jack gave up a cow, i gave up an orthodontist. okay, i-i-i know, i know i didn't love him-","the game, rachel, the game. you owe us money for the game.","you know, there's nothing wrong with speaking correctly."
"oh wait, i have the ten of spades! here!","but see, it was a plan. y'know, it was clear. it was figured out, and now everything's just kinda like...",well that's fine with me. could use the money.,don't you realise what you're-you're doing to yourself?
"oh, no-no-no-no-no-no, that's ok, i don't need them. i'm going for fours.",yeah.,...yeah.,if only he were a woman.
and rachel ooooooo!,"okay, but monica, what if- what if it doesn't come together?","look, rachel, this is poker. i play to win, alright? in order for me to win, other people have to lose. so if you're gonna play poker with me, don't expect me to be a 'nice guy,' ok? cause once those cards are dealt...",okay. i think it's time to change somebody's nicotine patch.
"ok, sorry to break up this party, but i've got resumes to fax before work tomorrow...","okay, see, see, you guys, what if we don't get magic beans? i mean, what if all we've got are.. beans?",i'm not a nice guy.,there y'go.
settle what?,"i'm so sorry, you guys. i didn't mean to bring you down.","alright boys, let's eat.","hey pheebs, you gonna have the rest of that pop-tart?.. pheebs?"
oh. right.,thank god. food.,you still on that?,"hey, i might!"
"so basically, you get your ya-yas by taking money from all of your friends.","no, no, that's not what we ordered... we ordered a fat-free crust with extra cheese.","you are way off, pal.",is there somebody else?
can you believe what a jerk ross was being?,"uh, pheebs? who's george snuffalopagus?","um.... no. see, i might've had feelings for her at one time—not any more. i just—i...","who-who wants fair? y'know, i just want things back. y'know, the way they were."
"oh, i beg to differ. the pictionary incident?",hello? who are we spying on?,marcel! where are you going with that disc?,"hey hey, we'll be fine. we're just gonna need a little time."
oooooh. oh! i got an interview! i got an interview!,"oh, him, the little guy? oh, i love him!","you are not putting that on again! marcel, ok—if you press that button, you are in very, very big trouble.",yeah. he could row like a viking.
sak's... fifth... avenue.,yeah.,alright.,so how'd it go?
assistant buyer. oh! i would be shopping... for a living!,"oh please, they're having sex.",i'm gonna pay for that tonight.,"you had a rough day, huh.. c'mere."
no.,"so, whaddya think george is like?",hey.,"yeah, see.. you took mine. chandler, what about you?"
why?,how long?,"uh, rach, do you want me to shuffle those?","joey, uh- om nipotent."
oh my god!,"okay, okay, okay, i got one! anyway- the valentine tommy rollerson left in your locker was really from me.",alright.,i cannot sleep in a public place.
hi!,hello? like he was really gonna send you one? she was a big girl,"so, phoebs owes $7.50, monica, you owe $10, and rachel, you owe fifteen big ones.","it's okay, y'know, you just nodded off again."
"guys! guess what, guess what, guess what, guess what!",i was laughing! you made me laugh!,"well, that just leaves the big green poker machine, who owes fifteen...",why?
"noooo... the interview! she loved me! she absolutely loved me. we talked for like two and a half hours, we have the same taste in clothes, and—oh, i went to camp with her cousin... and, oh, the job is perfect. i can do this. i can do this well!",he is so cute!,"so, you gals wanna hand over your money now? that way, we don't have to go through the formality of actually playing.","funny, my birthday was seven months ago."
"oh god, oh, and then she told the funniest story...","oh, okay. will you take my place?",uh... to the bathroom.,"so, i'm guessing you had an extra ticket and couldn't decide which one of you got to bring a date?"
"and rachel yes, we should. i think we should.","nooo! hello? oh, yeah, no, i know, i-i haven't been using it much. oh, well, thanks, but, i'm okay, really.",i want to go to the bathroom.,"oh my god, oh- is today the twentieth, october twentieth?"
"no, no, thats ok. y'know, i think i'm gonna give it a go.",i've got magic beans. never-never mind.,"alright. your money's mine, green.",ohhh.
alright... ,ohhh... i'm fine.,"well, you better hop outta the shower, cause... i gotta flush.","today's the day carol and i first.. consummated our physical relationship. sex. ..you know what, i-i'd better pass on the game. i think i'm just gonna go home and think about my ex-wife and her lesbian lover."
"mmm-hmmm. oh, so typical. ooo, i'm a man. ooo, i have a penis. ooo, i have to win money to exert my power over women.","ooh! look! look! look! look, there's joey's picture! this is so exciting!","oh, i am very in.",what are you doing?
"hmm. kinda stepped on my point there, mon.",god. i feel violated.,"no, not this time. so... what'd you have?","alright, alright, maybe it'll take my mind off it. do you promise to buy me a big thumb finger?"
"ooooh, that's fine. we'll see who has the last laugh there, monkey boy.","oh, c'mon. she's a person, you can do it!","come on, show them to me.","you can totally, totally live on this."
"oh no-no-no-no-no, i'm still waiting to hear from that job and the store closes at nine, so you can eat then.",what is it?,show them to me!,"oh, by the way, great service tonight."
"your fly is open, geller.",tah-daaah!,let me see! show them!,"carol was wearing boots just like those the night that we- we first- y'know. fact, she, uh- she never took'em off, 'cause we-we- sorry. sorry."
i'm in.,"look! i cleaned! i did the windows, i did the floors... i even used all the attachments on the vacuum, except that little round one with the bristles, i don't know what that's for.","first of all, i'm not losing...",peach pit.
"well, well, well, hop back in bucko, cause i got four sixes! i won! i actually won! oh my god! y'know what? i think i'm gonna make a little ross pile. i think that one was ross's, and i think—oh—that one was ross's. yes! well, i have got your money, and you'll never see it ...","well, whaddya think?",let's not talk about losing. just deal the...,"peach pit. that night we, uh- we had-"
and your fly's still open...,"i dunno.. i-i thought it looked better there. and i- and also, it's an extra seat around the coffee table.","mee mee, mee-mee mee.","actually, nectarines, but basically..."
"ha, i made you look....","okay, uh, you let me go grocery shopping, and i buy laundry detergent, but it's not the one with the easy-pour spout.",i'm in for fifty cents.,"then, uh, then we got dressed, and i-i... i walked her to the- -the bus stop... i'm fine."
i couldn't be inner. monica?,"..you're, you're 'mah mah mah' what?","i thought, uh... it was a fifty cent limit.","sorry, sorry... uh-oh."
"uh, i will see you... and i'll raise you. what do you say... want to waste another buck?",who is being loud?,"no, i fold.","no, actually i was just saying it looks like we're not sitting together. but now you mention it, there was ice there that night... it was the first frost..."
i'm not telling.,"ooh, do i sense a little bit of resentment?",i'm in.,"get him! get him! get him! get- yesss! not laughing now, are ya pal!"
no..!,"oh, joey, you know what, no-one is gonna be able to tell.",one.,pass it! pass it!
get your hands out of there! no!,"uh, mon, you-you gonna leave your shoes out here?",i bet two dollars.,"look, i don't wanna make any trouble, okay, but i'm in a lot of pain here, alright? my face is dented"
"boy, you really can't stand to lose, can you? your whole face is getting red... little veins popping out on your temple...",really? just casually strewn about in that reckless haphazard manner?,"i see your twenty, raise you twenty-five.","hey, this- heyy..."
"oh, you are losing. definitely losing.","um... yeah. well, i mean, when i first met you, y'know, i thought maybe, possibly, you might be...","joey, i'm a little shy.",i remember the moonlight coming through the window- and her face had the most incredible glow.
"hel-lo, rachel green.","yeah, but then you spent phoebe's entire birthday party talking to my breasts, so then i figured maybe not.",fifteen.,"look, it's just a little more complicated..."
excuse me. it's about the job,"oh my god! calling from rome! bon giorno, caro mio.",thank you.,"little louder, okay, i think there's a man on the twelfth floor in a coma that didn't quite hear you..."
"barbara! hi, how are you? uh-huh. no, i understand. yeah. oh, oh, come on, no, i'm fine. don't be silly. yeah... oh, but you know, if-if anything else opens up, plea—hello? hello?","monica, your dad just beeped in, but can you make it quick? talking to rome. i'm talking to rome.","ok, i am calling your seventeen. what do you got?",my first time with carol was...
"yeah... ....ok. where were we? oh, ok... five card draw, uh... jacks or better... nothing wild, everybody ante.","yes, chandler, that's exactly what it is. it's your hair.",you got me.,it was my first time
"yes, we do.","so, um, did she...","oh, well, when you don't have the cards, you don't have the cards, you know. but, uh... look how happy she is.",hi.
i see your fifty cents... and i raise you... five dollars.,"aw. hey, pheebs, want this?",uh.... bean! bean!,"fun? where was the fun? tell me specifically, which part was the fun part? where's my puck?"
"well, i just lost a job, and i'd like to raise the bet five bucks. does anybody have a problem with that?",sure. i just sharpened her this morning.,she's not here yet. she's not here. she's having my baby and she's not here.,"the kid...? excuse me, uh, that's, that's my puck."
loser?,"oh, you-you mean your earrings?","i don't know, but when i spoke to her, she said she had already passed the mucus plug.","oh yeah? well, i'm rubber, you're glue, whatever— —can't do it. listen, uh- gimme back my puck."
"what do you mean, you fold? hey, come on! what is this? i thought that 'once the cards were dealt, i'm not a nice guy.' i mean, what, were you just full of it?",hm-m.,"god, i don't believe this. she could be giving birth in the cab.","'yes', how about. c'mere. gimme!"
how many you want?,yes. paolo sent them from italy.,she's not even here yet.,give me my puck!!
dealer takes two. what do you bet?,oh no! my new paolo shoes!,where the hell have you been?,...now that was fun.
ok... see your two... and i raise you twenty.,"oh, well you know who i love the most?","susan wanted a chunky . we're having a baby, ok, a baby, you don't stop for chunky s.","okay, pheebs right hand blue. good."
"see your twenty-five...and...uh, monica, get my purse.",you!,stopped for a chunky,green. to the green.
"ok, then get me your purse.","pheebs, could you maybe hand me a cracker?",no.,"oh, shhh, shh. magic is about to happen."
"thank you. i saw your twenty-five, and i raise you... seven.","hey, who's this little naked guy?","dr. franzblau, hi.",is it? feels like two.
full house.,"aww, look at the little thing.","59 seconds. quartz, ha.",what?
"oh, time's up.","wow, monica, you look just like your grandmother. how old was she there?",i'll get it.,oh. hel-lo!
"ok, ok, it's my turn.","terry, i, i, i know that i haven't worked here very long, but i was wondering, do you think it would be possible if i got a $100 advance in my salary?",i got it—i'm getting it!,he could never get a woman like that in a million years.
yes!,"it's so that i can spend thanksgiving with my family. see, every year we go skiing in vail, and normally my father pays for my ticket, but i sort of started the whole independence thing, you know, which is actually why i took this job.",yeah. i'm paying you to stop.,c'mon! c'mon!
"oh, ross, relax. it's probably like two dollars for the first contraction, and then fifty cents for each additional contraction.","ok, i, i hear what you're sayin'. i'm with you. um, but i, but i'm trying really hard. and i think i'm doing better. i really do. does anybody need coffee? oh, look at that.",breathe.,"no, of course not! ...yeah, yeah, it is."
"what, it's ok when chandler does it?","excuse me, sir. hi, you come in here all time. i was just wondering, do you think there's a possibility that you could give me an advance on my tips?",breathe.,"well, y'know, monogamy can be a, uh, tricky concept. i mean, anthropologically speaking-"
"hi, i thought you might like some ice chips.","ok, ok, that's fine. fine. hey, i'm sorry about that spill before. only $98.50 to go.",breathe.,"fine. fine, alright, now you'll never know."
"and if you need anything else, i— —do not believe we've met. hi. i'm, uh, rachel green. i'm carol's... ex-husband's... sister's roommate.","absolutely. shoop, shoop, shoop. only a hundred and two dollars to go.","15 more seconds, 14, 13, 12...","alright. there's a theory, put forth by richard leakey-"
"oh, that's funny!","yeah, well it was. i, i broke a cup.",who the hell is jordie?,"oh yeah, nobody knows. and we're not supposed to ask."
hey.,"no, not even close. forget vail, forget seeing my family, forget shoop, shoop, shoop.","no-no-no. i don't have a son named jordie. we all agreed, my son's name is jamie.","oh c'mon! when we were kids, yours was the only raggedy ann doll that wasn't raggedy!"
"yeah, well, it's an important day. i wanna look nice. um, has uh dr. franzblau been by?","thanks, you can just put it on the table.","what? whoa, whoa whoa whoa, what do you mean, back to jordie? we never landed on jordie. we just passed by it during the whole jessy, cody, dylan fiasco.","alright, you madcap gal. try to imagine this. the phone bill arrives, but you don't pay it right away."
"well, where is he? he is supposed to be here. what if the baby needs him?","thanks, you can just put it on the table.",i got it.,because you're a kook! instead you wait until they send you a notice.
"yeah, why?","oh my god, oh, you guys are great.","i got it! hey, you get to sleep with her, i get the cramps.",monica? you're mom.
"no, honey, they're not, but don't worry, because we are going to find them, and until we do, we are all here for you, ok?",thank you. thank you so much!,why?,"c'mon, seriously, joey, what's the part?"
ok?,"wait, wait, chandler, this is what you're havin' for thanksgiving dinner? what, what, what is it with you and this holiday?","no, you started it.","you're right, you're right, it is...so you gonna invite us all to the big opening? "
"ok, so anyway, you were telling me about paris, it sounds fascinating.",oh my god.,but...,"look at it this way you dumped her . right? i mean, this woman was unbelievably sexy, and beautiful, intelligent, unattainable... tell me why you did this again?"
"no, no, not at the moment, no, i'm not. are you?",saw what?,thanks a lot.,"no? what happened, big guy?"
"right, yeah, i've heard that about cute doctors.","i got the tickets! i got the tickets! five hours from now, shoop, shoop, shoop.","yeah, listen...",it felt like a 'big guy' moment.
oh.,"ok, i'm gonna get my stuff.",please. this is so your fault.,"yeah, i mean... i think when it's your shot, y'know, you-you know it's your shot. did it... feel like your shot..?"
i'm a waitress.,"ok, good-bye you guys. thanks for everything. oh, sorry! oh, sorry!","look, carol never threw me out of a room before you came along.",she is a kook.
yeah. gotcha.,"i can't, i gotta go.",you tryin' to be clever? a funny lady?,"nono, me neither. although, uh, y'know, back in college, susan sallidor did."
ok. that's fine.,ok.,"oh, i'm threatened by you?","no. no, it's just 'cause, uh, i kinda wanted to go out with her too, so i told her, actually, you were seeing bernie spellman... who also liked her, so..."
"yeah, honey, they wouldn't miss this.",i loved the moment when you first saw the giant dog shadow all over the park.,"yeah, susan.",so he's calling from rome. i could do that. just gotta go to rome.
"oh, god, i can't believe one of us actually has one of these.",we're waiting for you to open the door. you got the keys.,"i'm having a baby in here! ok, everyone stand back. ow.","so, uh, how's she doing?"
"oh, i know. look at him.","yes, you do. when we left, you said, ""got the keys.""",help! help!,"okay, relax, relax. we are gonna be here for a while, it looks like, and we still have boyfriends and your career to cover."
you guys wanna get some coffee?,"no, no, no, you said, ""got the keys"".",and ross help!,"oh! ...yeah, they were gross. oh, you know what i loved? her sweet 'n' los. how she was always stealing them from- from restaurants."
"oh, let me see! oh, god, is he just the sweetest thing? you must just want to kiss him all over!","oh, i gotta get my ticket!","come on, come on. damnit, damnit, damnit, damnit. this is all your fault. this is supposed to be, like, the greatest day of my life, y'know? my son is being born, and i should be in there, you know, instead of stuck in a closet with you.",she looks so small.
pardon?,"all right, listen, smirky. if it wasn't for you and your stupid balloon, i would be on a plane watching a woman do this right now. but i'm not.","no no no, believe me. no one has been waiting for this as much as i have, ok? and you know what the funny thing is? when this day is over, you get to go home with the baby, ok? where does that leave me?","well, at least she's with pop-pop and aunt phyllis now."
"oh, no, no, no. presents first. food later.","no, i didn't. i wouldn't say i had the keys unless i had the keys, and i obviously didn't have the keys.",every day is lesbian lover day.,"bye, nana."
"ok, i'm guessing this is from...",aside from the fact that you said you had them?,you wanna explain that?,"y'know how-how the nurse said that-that nana had passed? well, she's not, quite.."
"well, thank you, melanie.","well, you should have.","ok, got the vent open.","she's not- past, she's present, she's back."
"ok... ah, it's light... ...it rattles... it's... travel scrabble ! oooohhh, thank you!",because!,"ben, you ready? all right, gimme your foot. ok, on three, ben. one, two, three. ok, that's it, ben.","i, uh, i'll go see."
this one's from joey... feels like a book. thinks it's a book... feels like a book. and... ...it's a book!,because!,"phoebs, it's open! it's open!",now she's passed.
who's this from?,"oh, god, this is great! the plane is gone, so it looks like i'm stuck here with you guys.",we're here!,twice.
oh... ... oh my god. he remembered.,what?,"long story, honey.","i dunno, it's weird. i mean, i know she's gone, but i just don't feel, uh..."
"it was like months ago. we were walking by this antique store, and i saw this pin in the window, and i told him it was just like one my grandmother had when i was a little girl. oh! i can't believe he remembered!",by all means.,"let me see, i gotta see, i gotta see. oh, a head. oh, it's, it's huge. carol, how are you doing this?","nono, she's gone."
