season,episode,title,director,release_date,all_cast,Rating,number_of_reviews,short_summary,writer,views,month,central_perk_loc,monicas_loc,chandlers_loc,ross_loc,monicas_lines,rachel_lines,ross_lines,phoebe_lines,joey_lines,chandler_lines,all_lines,num_guest_stars,common_director,epi_type,catchphrases,title_about,gunther,janice,richard,heckles,frank,estelle,ursula,part_1,rat_grouped
2,1, The One with Ross's New Girlfriend ,Michael Lembeck , 21 September 1995,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Cosimo Fusco', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Lauren Tom', 'Buck Kartalian', 'Tony Sagastizado I']",8.5,3866,"Rachel waits for Ross at the airport, unaware he has a new girlfriend. Meanwhile, Chandler has a frightening experience with Joey's tailor, and Phoebe gives Monica a bad haircut.",Jeffrey Astrof & Mike Sikowitz,32.1,9,0.25,0.5833333333333334,0.0,0.0,0.12385321100917432,0.21100917431192662,0.20642201834862386,0.15137614678899083,0.10091743119266056,0.12385321100917432,0.009174311926605505,0,Michael Lembeck,prem,0,['ross'],0,0,0,0,0,0,0,0,av
2,2, The One with the Breast Milk ,Michael Lembeck , 28 September 1995,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Jane Sibbett', 'Joel Beeson', 'Richard Lyons', 'Lou Wills', 'James Michael Tyler', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Lauren Tom', 'Jessica Hecht', 'Emily Procter', 'Stan Sellers', 'Alex Spencer']",8.2,3720,"Monica goes shopping with Julie and tries to keep it a secret from Rachel. Ross is grossed out by Carol's breast milk. At his day job, Joey competes with a fellow cologne spritzer.",Adam Chase & Ira Ungerleider,29.8,9,0.2857142857142857,0.42857142857142855,0.07142857142857142,0.0,0.15763546798029557,0.1724137931034483,0.11330049261083744,0.10344827586206896,0.12315270935960591,0.07389162561576355,0.009852216748768473,0,Michael Lembeck,reg,0,other,1,0,0,0,0,0,0,0,below
2,3, The One Where Heckles Dies ,Kevin Bright (as Kevin S. Bright)    , 5 October 1995,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Mike Hagerty', 'Maggie Wheeler', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Larry Hankin', 'Danny Dayton']",8.4,3727,"After Mr. Heckles dies and leaves all his belongings to Monica and Rachel, Chandler worries he will die alone just like him. Meanwhile, Phoebe and Ross argue over evolution.",Michael Curtis & Gregory S. Malins,30.2,10,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.0,0.15151515151515152,0.1414141414141414,0.11616161616161616,0.14646464646464646,0.12121212121212122,0.22727272727272727,0.005050505050505051,0,Kevin Bright,reg,0,other,0,1,0,1,0,0,0,0,av
2,4, The One with Phoebe's Husband ,Gail Mancuso , 12 October 1995,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Steve Zahn', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Lauren Tom', 'Janice Davies', 'James Michael Tyler']",8.0,3609,"When the gang find out Phoebe married a gay Canadian ice dancer for a green card, more of their secrets are revealed. Meanwhile, Rachel gives Ross bad advice on his relationship with Julie.",Alexa Junge,28.1,10,0.15384615384615385,0.15384615384615385,0.0,0.3076923076923077,0.07476635514018691,0.21962616822429906,0.2102803738317757,0.1542056074766355,0.06074766355140187,0.0794392523364486,0.02336448598130841,0,Gail Mancuso,reg,0,['phoebe'],1,0,0,0,0,0,0,0,below
2,5, The One with Five Steaks and an Eggplant ,Ellen Gittelsohn , 19 October 1995,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Chris Young', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Brittney Powell', 'Spencer Cherashore', 'James Michael Tyler']",8.3,3607,"The gang are divided by income issues; Monica, Ross and Chandler have money, and Rachel, Phoebe and Joey don't.",Chris Brown,28.3,10,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.0,0.13620071684587814,0.1111111111111111,0.2007168458781362,0.08960573476702509,0.1111111111111111,0.22580645161290322,0.0035842293906810036,0,other,reg,0,other,1,0,0,0,0,0,0,0,av
2,6, The One with the Baby on the Bus ,Gail Mancuso , 2 November 1995,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Max Wright', 'Catherine Bell', 'Jennifer Sommerfeld', 'Lea Thompson', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Chrissie Hynde', 'Victor Raider-Wexler', 'Hugh Dane', 'Giovanni Ribisi', 'James Michael Tyler']",8.6,3872,"Joey and Chandler are left to babysit Ben when Monica takes Ross to the hospital. Meanwhile, Phoebe loses her singing gig at Central Perk to a professional singer.",Betsy Borns,30.2,11,0.35714285714285715,0.21428571428571427,0.0,0.0,0.11504424778761062,0.10619469026548672,0.13716814159292035,0.1504424778761062,0.1504424778761062,0.15486725663716813,0.0,1,Gail Mancuso,reg,0,other,1,0,0,0,0,0,0,0,av
2,7, The One Where Ross Finds Out ,Peter Bonerz , 9 November 1995,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Arye Gross', 'Marcus Jacques', 'James Michael Tyler', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Lauren Tom', 'Barry Diamond', 'Fritzi Burr']",9.0,4384,"A drunken Rachel calls Ross and reveals her feelings for him on his answering machine. Meanwhile, Monica keeps busy by being Chandler's personal trainer and Phoebe constantly wonders why her current boyfriend won't sleep with her.",Michael Borkow,30.5,11,0.23076923076923078,0.15384615384615385,0.38461538461538464,0.0,0.09569377990430622,0.291866028708134,0.18181818181818182,0.11004784688995216,0.0861244019138756,0.11961722488038277,0.014354066985645933,0,Peter Bonerz,reg,0,['ross'],1,0,0,0,0,0,0,0,above
2,8, The One with the List ,Mary Kay Place , 16 November 1995,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Michael McKean', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Lauren Tom', 'James Michael Tyler']",8.5,3633,"With help from Chandler and Joey, Ross makes a list of pros and cons to decide whether to be with Julie or Rachel. Meanwhile, Monica gets a job making dessert with a disgusting synthetic chocolate substitute.",David Crane & Marta Kauffman,32.9,11,0.14285714285714285,0.35714285714285715,0.14285714285714285,0.07142857142857142,0.18779342723004694,0.19718309859154928,0.2300469483568075,0.0892018779342723,0.08450704225352113,0.10328638497652583,0.0,1,other,reg,0,other,1,0,0,0,0,0,0,0,av
2,9, The One with Phoebe's Dad ,Kevin Bright (as Kevin S. Bright)    , 14 December 1995,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Mike Hagerty', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Audra Lindley', 'James Michael Tyler']",8.0,3494,"Phoebe tracks down her father, but isn't sure whether she should meet him. Ross asks Rachel to make a list of pros and cons about him.",Jeffrey Astrof & Mike Sikowitz,27.8,12,0.07692307692307693,0.5384615384615384,0.0,0.0,0.13333333333333333,0.10416666666666667,0.15416666666666667,0.20833333333333334,0.14583333333333334,0.12916666666666668,0.0,0,Kevin Bright,reg,0,['phoebe'],1,0,0,0,0,0,0,0,below
2,10, The One with Russ ,Thomas Schlamme , 4 January 1996,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Vincent Ventresca', 'Scott Stewart', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Lauren Tom', 'June Gable', 'Darin Mangan']",8.0,3643,Monica gets back together with 'Fun Bobby' and realizes why he is always so upbeat. Rachel starts dating a guy called Russ who bears an uncanny resemblance to Ross.,Ira Ungerleider,32.2,1,0.45454545454545453,0.0,0.09090909090909091,0.0,0.16216216216216217,0.12837837837837837,0.13175675675675674,0.12837837837837837,0.11486486486486487,0.12162162162162163,0.0033783783783783786,0,other,reg,0,other,0,0,0,0,0,1,0,0,below
2,11, The One with the Lesbian Wedding ,Thomas Schlamme , 18 January 1996,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Jane Sibbett', 'Phil Leeds', 'Symba', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Marlo Thomas', 'Jessica Hecht', 'Candace Gingrich', 'Lea DeLaria']",8.1,3575,Rachel's mom comes to visit with big news. Monica caters Carol and Susan's wedding. Phoebe becomes 'possessed' by the spirit of a recently deceased client.,Doty Abrams,31.6,1,0.1111111111111111,0.5555555555555556,0.0,0.1111111111111111,0.125,0.15086206896551724,0.1724137931034483,0.1206896551724138,0.08189655172413793,0.08620689655172414,0.004310344827586207,1,other,reg,0,other,0,0,0,0,0,0,0,0,below
