season,episode,scene,quote_index,character,line,extra
1,2,7,9,barry,be right there. be back in a sec.,[answering the intercom] [to robbie and rachel] [as barry exits robbie stares at rachel.]
1,2,7,11,robbie,okay.,
1,2,8,1,carol,give me a 'for instance'.,
1,2,8,3,carol,marlon-,
1,2,8,5,carol,"-if it's a boy, minnie if it's a girl.",
1,2,8,7,carol,as in my grandmother.,
1,2,8,9,carol,julia..,
1,2,8,10,susan,we agreed on minnie.,
1,2,9,0,barry,sorry about that. so. what have you been up to?,
1,2,9,2,barry,"oh, that's great.",
1,2,9,4,barry,"oh, i, uh- i went to aruba.",
1,2,9,6,barry,"no. i went with, uh.. now, this may hurt.",
1,2,9,7,robbie,me?!,
1,2,9,8,barry,no! i went with mindy.,[to rachel]
1,2,9,10,barry,"yeah, well, uh, we're kind of a thing now.",
1,2,9,12,barry,careful! they haven't quite taken yet.,
1,2,9,14,barry,"not for her. listen, i really wanted to thank you.",
1,2,9,16,barry,"see, about a month ago, i wanted to hurt you. more than i've ever wanted to hurt anyone in my life. and i'm an orthodontist.",
1,2,9,18,barry,"you know, you were right? i mean, i thought we were happy. we weren't happy. but with mindy, now i'm happy. spit.",
1,2,9,20,robbie,me.,[spits.]
1,2,9,22,barry,"well, thank you for giving it back.",[barry and rachel look at each other.]
1,2,9,23,robbie,hello?!,
1,2,10,0,susan,"oh, please! what's wrong with helen?",
1,2,10,2,carol,hello? it's not gonna be helen geller.,
1,2,10,4,carol,"no, i mean it's not geller.",
1,2,10,6,carol,"no, actually, um, we talked about helen willick-bunch.",
1,2,10,8,susan,it's my baby too.,
1,2,10,10,susan,"yeah, and we all know what a challenge that is!",
1,2,10,11,carol,"all right, you two, stop it!",
1,2,10,13,carol,ross. you're not actually suggesting helen willick-bunch-geller? 'cause i think that borders on child abuse.,
1,2,10,15,susan,"oh, no, nonononono, you see what he's doing? he knows no-one's gonna say all those names, so they'll wind up calling her geller, then he gets his way!",
1,2,10,17,dr. oberman,knock knock!how are we today? any nausea?,[entering]
1,2,10,19,dr. oberman,"well, i was just wondering about the mother-to-be, but.. thanks for sharing. uh, lie back..",[to carol]
1,2,10,22,susan,look at that.,
1,2,10,23,carol,i know.,
1,3,4,1,paula,"listen. as someone who's seen more than her fair share of bad beef, i'll tell you: that is not such a terrible thing. i mean, they're your friends, they're just looking out after you.",
1,3,4,3,paula,"well, you do realise the odds of that happening are a little slimmer if they never get to meet the guy..",
1,3,5,10,alan,it's alan.,[on the intercom]
1,3,5,14,alan,hi.,
1,3,5,16,alan,i've heard schho much about all you guyschh!,"[everyone laughs.] [time lapse, alan is leaving.]"
1,3,5,24,the guys,yeah.,[reluctantly]
1,3,7,1,lizzie,"hey, weird girl.",
1,3,7,3,lizzie,did you pick out the vowels?,
1,3,7,5,lizzie,saltines?,
1,3,7,7,lizzie,"what? oh my god, there's really money in here.",[she opens the envelope phoebe has given her.]
1,3,7,9,lizzie,"weird girl, what are you doing?",
1,3,7,11,lizzie,"no, no, i ha-i have to give you something.",
1,3,7,13,lizzie,would you like my tin-foil hat?,
1,3,7,15,lizzie,"please, let me do something.",
1,3,7,17,lizzie,okay.,
1,3,9,0,lizzie,keep the change. sure you don't wanna pretzel?,[to phoebe]
1,3,9,2,lizzie,see ya.,[leaves] [phoebe opens the can and reacts.]
1,3,11,1,paula,no.,
1,3,11,3,paula,"waitwait.. we talking about the coyotes here? all right, a cow got through!",
1,3,11,5,paula,"honey.. you should always feel the thing . listen, if that's how you feel about the guy, monica, dump him!",
1,3,11,7,paula,"well, he's a big boy, he'll get over it.",
1,3,14,0,alan,wow.,
1,3,14,2,alan,"yeah, i'm sorry too. but, i gotta tell you, i am a little relieved.",
1,3,14,4,alan,"yeah, well, i had a great time with you.. i just can't stand your friends.",
1,4,2,44,guys,hockey! hockey! hockey.,"[they go to leave but are blocked by three of rachel's friends, leslie, kiki, and joanne. the guys pause to stare at them.] [the guys.]"
1,4,2,45,leslie,rachel?,[looking around]
1,4,2,48,kiki,"well, we were in the city shopping, and your mom said you work here, aaand it's true!",
1,4,2,49,joanne,look at you in the apron. you look like you're in a play.,
1,4,2,51,leslie,i know. i know! i'm a duplex.,
1,4,2,53,joanne,"well, guess who my dad's making partner in his firm?",[she points to herself and they all scream again.]
1,4,2,54,kiki,and while we're on the subject of news..,[she holds up here finger to show off her engagement ring and they all scream again.]
1,4,4,1,kiki,"well, the biggest news is still you dumping barry at the altar!",
1,4,4,2,joanne,alright. let's talk reality for a second.,
1,4,4,4,joanne,when are you coming home?,
1,4,4,6,joanne,"c'mon, this is us.",
1,4,4,8,kiki,waitressing?,
1,4,4,10,leslie,well. your mom didn't tell us about the blobbies.,
1,4,9,1,receptionist,"it says to call this number if you're not completely satisfied with this candy bar. well, i'm not completely satisfied.",[holds up her hand—she is on the phone]
1,4,9,3,receptionist,"hold on. fill these out, sit over there.",[on phone] [to chandler] [tosses him some forms.]
1,4,9,5,receptionist,"well, you'll have to wait your turn.",
1,4,9,7,receptionist,any minute now.,[sarcastic]
1,4,10,2,pizza guy,pizza guy!,[yelling from outside]
1,4,10,8,pizza guy,"hi, one, uh, mushroom, green pepper and onion?",
1,4,10,10,pizza guy,"wait, you're not 'g.stephanopoulos?' man, my dad's gonna kill me!",
1,4,10,12,pizza guy,"yeah. this one goes across the street, i must have given him yours. oh, bonehead, bonehead!",
1,4,10,14,pizza guy,"yeah, that sounds about right.",
1,4,10,17,pizza guy,"no, pretty much just a towel.",
1,4,10,19,pizza guy,so you guys want me to take this back?,
1,4,15,4,both,"hey, buddy.",
1,4,15,6,receptionist,"oh, that's attractive.",[sarcastic]
1,4,15,11,kid,"i found it. finders keepers, losers weepers.",[ross looks at chandler for help.]
1,4,15,14,kid,no.,
1,4,15,16,kid,no! no!,[they start to fight over it.]
1,4,15,17,receptionist,hey! hey! no rough holding in my er!,
1,5,2,24,angela,"hi, joey.",
1,5,2,29,angela,joey.,[casually]
1,5,2,31,angela,that's because i'm wearing a dress that accents my boobs.,
1,5,2,41,angela,forget it joey. i'm with bob now.,
1,5,2,43,angela,"bob is great. he's smart, he's sophisticated, and he has a real job. you, you go on three auditions a month and you call yourself an actor, but bob...",
1,5,2,45,angela,"yeah, well, sorry, joe. you said let's just be friends, so guess what?",
1,5,2,47,angela,we're just friends.,
1,5,2,49,angela,what four of us?,
1,5,5,7,angela,"hey, joey.",
1,5,6,7,janice,"oh, my god, i am so glad you called me. i had the most supremely awful day.",
1,5,6,9,janice,"we got the proofs back from that photo shoot, you know, the one with the little vegetables. anyway, they pretty much sucked, so, i blew off the rest of the day, and i went shopping... ... and i got you, i'm looking, i'm looking, i'm looking, i got you...","[looks through her bags] [chandler sees phoebe breaking up with tony. she talks to him for a few seconds, hugs him, and then he leaves. chandler is amazed how easy it was for her.]"
1,5,6,11,janice,what?,
1,5,6,13,janice,i got you...these.,[pulls out a pair of socks]
1,5,6,15,janice,"well, i knew you had the rockys, and so i figured, you know, you can wear bullwinkle and bullwinkle, or you can wear rocky and rocky,or, you can mix and match, moose and squirrel. whatever you want.",
1,5,6,18,janice,"no, no, i'm still working on mine.","[holding the full cup] [chandler walks over to the counter where phoebe is, and is asking her about the break-up.]"
1,5,7,0,woman,"comin' through. move, move.",
1,5,7,2,woman,"yeah, well, now you're kinda not.",
1,5,7,4,woman,"oh, i'm sorry, is that your basket? it's really pretty. unfortunately, i don't see suds.",
1,5,7,6,woman,"no suds, no save. ok?",[ross arrives.]
1,5,7,14,woman,"hey, hey, hey, her stuff wasn't in it.",
1,5,8,1,angela,brooklyn heights.,
1,5,8,2,bob,cleveland.,
1,5,9,1,bob,yep. pretty much.,
1,5,9,3,bob,"huh, i never really noticed.",
1,5,9,5,bob,"monica, monica is great.",
1,5,10,1,angela,"yeah, isn't he?",
1,5,10,3,angela,you know what else? he's unbelievable in bed.,
1,5,10,5,angela,huh. that's nice.,
1,5,11,2,janice,"all right. well, there you go. stop it, stop it, stop it.","[she gets extremely wound up, and begins to try and calm herself down]"
1,5,14,1,janice,ow!,
1,5,14,3,janice,"ow. um, it's just my lens. it's just my lens. i'll be right back.",[she leaves.]
1,5,15,3,woman,"yeah, well, i had a 24-inch waist. you lose things. now come on, get outta my way.","[rachel looks at ross, who motions to her to get the cart back.]"
1,5,15,5,woman,"hey, hey, hey there aren't any clothes in it.",
1,5,15,7,woman,let go!,"[they struggle for the cart. finally, rachel climbs inside of it.]"
1,6,2,22,aurora,...yes?,
1,6,2,24,aurora,"yes, you said that.",
1,6,2,26,aurora,chandler?,[joey enters from behind a curtain. the others all talk at once.]
1,6,3,6,aurora,"...luckily none of the bullets hit the engine block. so, we made it to the border, but just barely, and i- ...i've been talking about myself all night long, i'm sorry. what about you? tell me one of your stories.",
1,6,3,9,aurora,...all of a sudden we realised we were in yammon.,
1,6,3,11,aurora,'we' would be me and rick.,
1,6,3,14,aurora,my husband.,
1,6,3,17,aurora,no.,
1,6,3,19,aurora,"no, i'm still married.",
1,6,3,21,aurora,"don't worry. i imagine he'd be okay with you because really, he's okay with ethan.",
1,6,3,23,aurora,mmmm... ethan is my... boyfriend.,
1,6,3,26,aurora,i suppose mainly sexual.,
1,6,6,0,director,"...dammit, hire the girl! okay, everybody ready?",[on phone] [he hangs up the phone.]
1,6,6,2,director,lose the robe.,
1,6,6,4,director,that would work.,
1,6,6,6,director,"okay, everybody, we'd like to get this in one take, please. let's roll it.. water's working .. and... action.","[the shower starts] [joey starts to the shower with a grim, determined look on his face.]"
1,6,6,7,director,"and cut. hey, butt guy, what the hell are you doing?",
1,6,6,9,director,"no, that was clenching.",
1,6,6,11,director,"i think his butt would like to get this shot before lunch. once again, rolling... water working... and action....and cut. what was that?",
1,6,7,1,aurora,thank you.,
1,6,7,3,aurora,"oh my god, i'm late.",[moves chandler's arm and look at his watch.] [she starts to get up.]
1,6,7,5,aurora,okay.,
1,6,7,7,aurora,"okay. oh no, i have to.",
1,6,7,9,aurora,i'm sorry. he'll be waiting for me.,[getting up and dressing]
1,6,7,11,aurora,it's not rick.,
1,6,7,13,aurora,"no, it's-it's andrew.",
1,6,7,15,aurora,he's... new.,
1,6,7,17,aurora,"no, that's not exactly what i was..",
1,6,7,19,aurora,so what do you want?,
1,6,7,21,aurora,you have me!,
1,6,7,23,aurora,whaddyou mean?,
1,6,7,25,aurora,"...like, ...all of them?",
1,6,7,27,aurora,"why can't we just have what we have now? why can't we just talk, and laugh, and make love, without feeling obligated to one another... and up until tonight i thought that's what you wanted too.",
1,6,7,29,aurora,so... which one of the two guys will you listen to?,
1,6,7,31,aurora,which one?,
1,6,7,33,aurora,"well, call me if you change your mind.","[gets up to leave] [she kisses him, he holds her, and kisses her passionately.]"
1,7,4,1,jill,"hi mom, it's jill.",[on phone]
1,7,4,3,jill,"yeah, i'm fine. i'm just stuck at the bank, in an atm vestibule.",[on phone]
1,7,4,5,jill,"i'm fine. no, i'm not alone... i don't know, some guy.",[on phone]
1,7,6,3,jill,would you like to call somebody?,[awkwardly] [offering phone]
1,7,9,0,jill,would you like some gum?,
1,7,9,2,jill,"sorry, it's not.",[checks]
1,7,14,2,mr heckles,": er, yeah, it's mine.",
1,7,14,4,mr heckles,": yeah, it's my cat. give me my cat.",
1,7,14,6,mr heckles,: ehhhh... b-buttons.,
1,7,14,8,mr heckles,": mmm. bob buttons. here, bob buttons.",
1,7,14,10,mr heckles,: you owe me a cat.,[as phoebe and rachel leave]
1,7,15,1,paolo,,[something italian]
1,7,16,7,paolo,,[something in italian]
1,7,16,9,paolo,monopoly !,[pointing at game]
1,7,16,20,paolo,,"[something in italian, he is apparently attracted to phoebe]"
1,7,17,3,jill,are you alright?,"[chandler tries to save face and makes the 'ok' sign with his hands, while obviously unable to breathe.]"
1,7,17,4,jill,"my god, you're choking! that better?","[she runs over and gives him the heimlich, the gum flies from his mouth]"
1,7,17,6,jill,perfection?,
1,7,18,0,paolo,,[something romantic in italian about rachel and the stars]
1,7,18,12,paolo,ross!,"[ross notices that paolo is standing on a step, which makes him taller. ross gets up on the same step so he can look down at paolo.]"
1,7,18,14,paolo,thing?,
1,7,18,16,paolo,"ah, you... have the sex?",
1,7,18,18,paolo,bed?,
1,7,18,20,paolo,oh!,
1,7,18,22,paolo,si.,
1,7,18,24,paolo,poco... a leetle.,
1,7,18,26,paolo,no.,
1,7,19,0,jill,"chandler, we've been here for an hour doing this! now watch, it's easy.",
1,7,19,2,jill,ready?,[she swings the pen around her head in a circle] [chandler tries to do the same thing but the pen hits him in the head.]
1,7,19,3,jill,"no, you've got to whip it.","[he swings the pen hard, and it snaps back and almost hits him again.]"
1,7,21,0,jill,"well, this has been fun.",
1,7,21,2,jill,"well, goodbye chandler. i had a great blackout. see ya.","[she kisses him on the cheek] [she leaves. chandler presses his face to the glass door after her, stroking the window lovingly. he then turns to the security camera and starts talking to it.]"
1,8,1,0,shelley,"hey gorgeous, how's it going?",
1,8,1,2,shelley,"question. you're not dating anybody, are you, because i met somebody who would be perfect for you.",
1,8,1,4,shelley,do you want a date saturday?,
1,8,1,6,shelley,"okay. he's cute, he's funny, he's-",
1,8,1,8,shelley,"well yeah! ...oh god. i- just- i thought- good, shelley. i'm just gonna go flush myself down the toilet now... okay, goodbye...",[backs out of the room]
1,8,3,1,aunt lillian,the doctor says it's a matter of hours.,
1,8,3,3,mrs geller,": me? i'm fine, fine. i'm glad you're here. ...what's with your hair?",
1,8,3,5,mrs geller,: what's different?,
1,8,3,7,mrs geller,": oh, maybe that's it.","[monica strides over to ross, who is making coffee, and talks to him aside.]"
1,8,3,13,mr geller,": not just restaurants, from our house.",[the nurse comes out of nana's room.]
1,8,3,14,nurse,mrs. geller?,[everyone stands up. cut to ross and monica in nana's room.]
1,8,3,21,mrs geller,: what is going on?!,
1,8,3,23,mrs geller,: what?,
1,8,3,25,aunt lillian,what's going on?,[reentering]
1,8,3,26,mr geller,: she may have died.,
1,8,3,27,aunt lillian,she may have died?,
1,8,3,28,mr geller,: we're looking into it.,[monica returns with the nurse and they go into nana's room.]
1,8,3,30,nurse,this almost never happens!,[nana passes for the second time and the nurse pulls the blanket over her. ross and monica go to tell the family]
1,8,5,1,mrs geller,": well, that doesn't mean she can't look nice!","[they open a cupboard which, amongst other things, contains a chest of drawers]"
1,8,5,2,mrs geller,": sweetie, you think you can get in there?",
1,8,6,0,mr geller,: i was just thinking. when my time comes-,
1,8,6,2,mr geller,": listen to me! when my time comes, i wanna be buried at sea.",
1,8,6,4,mr geller,": i wanna be buried at sea, it looks like fun.",
1,8,6,6,mr geller,": c'mon, you'll make a day of it! you'll rent a boat, pack a lunch...",
1,8,6,8,mr geller,": everyone thinks they know me. everyone says 'jack geller, so predictable'. maybe after i'm gone, they'll say 'buried at sea! huh!'.",
1,8,6,10,mr geller,: i'd like that.,
1,8,7,1,shelley,"hey. look, i'm sorry about yesterday, i, um-",[sheepish]
1,8,7,3,shelley,oh! okay! phew!,
1,8,7,5,shelley,"i dunno, uh... you just have a-a...",
1,8,7,7,shelley,"y'know, it's a shame, because you and lowell would've made a great couple.",
1,8,7,9,shelley,what? he's cute!,
1,8,7,11,shelley,is brian...?,
1,8,7,13,shelley,"well, i think brian's a little out of your league.",
1,8,8,1,aunt lillian,no.,
1,8,8,3,aunt lillian,"you know, whatever we pick, she would've told us it's the wrong one.",
1,8,8,4,mrs geller,: you're right. we'll go with the burgundy.,
1,8,8,6,aunt lillian,wait! we need shoes!,[ross falls back inside]
1,8,8,8,mrs geller,: that's really a day shoe.,
1,8,8,10,aunt lillian,could we see something in a slimmer heel?,
1,8,8,12,aunt lillian,"no, it really should be burgundy.",
1,8,8,13,mrs geller,: mm. unless we go with a different dress?,
1,8,8,16,mrs geller,": is everything all right, dear?",
1,8,10,1,mrs geller,": it really was. oh, c'mere, sweetheart. y'know, i think it might be time for you to start using night cream.","[hugs her] [joey listens to his overcoat for a second and sighs, then notices chandler watching]"
1,8,11,5,mrs geller,": here, sweetie, here. i took these when i had my golfing accident.","[hands ross a bottle of pills. then turns to monica and pats her hair over her ears] [cut to chandler and a woman, andrea, reaching for the same slice of meat]"
1,8,11,7,andrea,"sorry- hi, i'm dorothy's daughter.",
1,8,11,17,andrea,you were right.,[turns to a friend] [they walk off and leave chandler.]
1,8,11,23,mr geller,: whaddya got there?,
1,8,11,25,mr geller,: what's the score?,
1,8,11,27,mr geller,: beautiful!,[turns to watch with him] [time lapse. a large crowd of men are now watching the game]
1,8,11,29,mrs geller,: your grandmother would have hated this.,[to monica]
1,8,11,31,mrs geller,": no, i'd be hearing about 'why didn't i get the honey-glazed ham?', i didn't spend enough on flowers, and if i spent more she'd be saying 'why are you wasting your money? i don't need flowers, i'm dead'.",
1,8,11,33,mrs geller,: do you know what it's like to grow up with someone who is critical of every single thing you say?,
1,8,11,35,mrs geller,": i'm telling you, it's a wonder your mother turned out to be the positive, life-affirming person that she is.",
1,8,11,37,mrs geller,: tell her what?,
1,8,11,39,mrs geller,: i'm not sure i know what you're getting at.,
1,8,11,41,mrs geller,: ...no. i think some things are better left unsaid. i think it's nicer when people just get along.,
1,8,11,43,mrs geller,": more wine, dear?",
1,8,11,45,mrs geller,: those earrings look really lovely on you.,"[reaches out to fiddle with monica's hair again, and realises]"
1,8,11,47,mrs geller,: actually they were nana's.,[there is a cry of disappointment from the crowd of men.]
1,8,11,48,mr geller,: now i'm depressed! ... even more than i was.,[to everyone]
1,8,13,1,lowell,"hey, chandler.",
1,8,13,3,lowell,it's like mardi gras without the paper mache heads. how 'bout you?,
1,8,13,5,lowell,i know. that's what i told her.,
1,8,13,7,lowell,yeah.,
1,8,13,9,lowell,"pretty much, most of the time. we have a kind of... radar.",
1,8,13,11,lowell,"speaking for my people, i'd have to say no. by the way, your friend brian from payroll, he is.",
1,8,13,13,lowell,"yup, and waaay out of your league.",[exits]
1,9,1,1,terry,an advance?,
1,9,1,3,terry,"rachel, rachel, sweetheart. you're a terrible, terrible waitress. really, really awful.",
1,9,2,1,guy,huh?,
1,9,3,1,susan,"no, she's at a faculty meeting.",
1,9,3,3,susan,come in.,
1,9,3,5,susan,what's it look like?,
1,9,3,7,susan,"yes, i'm familiar with the concept. we can just look for it.",
1,9,3,9,susan,"well, you know, you have to take a course. otherwise, they don't let you do it.",
1,9,3,11,susan,"actually, i'm reading it to the baby.",
1,9,3,13,susan,"what, you don't think they can hear sounds in there?",
1,9,3,15,susan,"yeah, all the time. i want the baby to know my voice.",
1,9,3,17,susan,"yeah, yeah, all the time.",
1,9,3,19,susan,"but um, we just refer to you as bobo the sperm guy.",
1,9,5,1,girl,we did?,
1,9,5,3,girl,"yeah, right.",
1,9,5,5,girl,get out.,
1,9,5,7,girl,really? you don't know what that means to me.,
1,9,5,9,girl,nothing.,[provocatively]
1,9,5,11,girl,yeah. oh.,"[she gets up, notices something behind joey]"
1,9,5,13,girl,"i just remembered, i have to do something.",
1,9,5,15,girl,"um, leave.",
1,9,9,0,carol,anytime you're ready.,
1,9,9,2,carol,just aim for the bump.,
1,9,9,4,carol,"so don't do it, it's fine. you don't have to do it just because susan does it.",
1,9,11,1,carol,"look, you don't have to talk to it. you can sing to it if you want.",
1,9,11,3,susan,"hi, how's it goin?",
1,9,11,5,carol,i did.,
1,9,11,7,carol,"no, no that was the first.",
1,9,11,8,susan,keep singing! keep singing!,
1,9,11,10,susan,i felt it!,
1,10,2,23,max,"no. no, that's- that's okay.",
1,10,2,26,david,noth- i was- i was just saying to my-,
1,10,2,28,david,"sorry, i wa- i was just saying to my friend that i thought you were the most beautiful woman that i'd ever seen in my- in my life. and then he said that- you said you thought",[stands up and speaks more loudly]
1,10,2,29,max,daryl hannah.,
1,10,2,30,david,"daryl hannah was the most beautiful woman that he'd ever seen in his life and i said yeah, i liked her in splash, a lot, but not so much in- in wall street, i thought she had kind of a",
1,10,2,31,max,hard quality.,
1,10,2,32,david,"-hard quality. and uh, while daryl hannah is beautiful in a conventional way, you are luminous with a kind of a delicate grace. then, uh, that-that-that's when you started yelling.",[sits down]
1,10,4,0,david,"...but, you can't actually test this theory, because today's particle accelerators are nowhere near powerful enough to simulate these conditions.",
1,10,4,2,david,yuh.,
1,10,4,4,david,"uh, that's definitely a, uh, valid question. and, uh, the answer would be yes. yes i was. but, see, i wanted it to be this phenomenal kiss that happened at this phenomenal moment, because, well, 'cause it's you.",[writes yes on the board]
1,10,4,6,david,"right. but, see, the longer i waited, the more phenomenal the kiss had to be, and now we've reached a place where it's just gotta be one of those things where i just like... sweep everything off the table and throw you down on it. and, uh, i'm not really a, uh, sweeping sorta fella.",
1,10,4,8,david,rrrreally.,
1,10,4,10,david,...now? now?,
1,10,4,12,david,"okay, okay, okay. y'know what, this was just really expensive. and i'll take- this was a gift.","[gets ready to sweep, and then picks up a laptop computer] [puts it down elsewhere. then picks up a microscope] [moves it]"
1,10,4,14,david,"okay, what the hell, what the hell. you want me to actually throw you or you-you wanna just hop?",[sweeps the remaining papers off the desk and grabs phoebe]
1,10,5,28,max,phoebe. hi.,
1,10,5,30,max,no. have you seen david?,
1,10,5,32,max,"well, if you see him, tell him to pack his bags. we are going to minsk.",
1,10,5,34,max,minsk. it's in russia.,
1,10,5,36,max,"we got the grant. three years, all expenses paid.",
1,10,5,38,max,january first. commercial break,
1,10,6,1,david,hey!,
1,10,6,3,david,hi! what-what're you doing here?,[kisses her]
1,10,6,5,max,it'd be even more exciting if we were going.,
1,10,6,7,max,"tell her, david. 'i don't wanna go to minsk and work with lifson and yamaguchi and flench, on nonononononono. i wanna stay here and make out with my girlfriend!!'",[storms out]
1,10,6,8,david,"thank you, max. thank you.",
1,10,6,10,david,i don't know. i don't know what i'm gonna do. i just- you decide.,
1,10,6,12,david,please.,
1,10,6,14,david,"no, but i'm asking-",
1,10,6,16,david,"no, but i can't-",
1,10,6,18,david,-make the decision-,
1,10,6,20,david,stay.,
1,10,6,23,david,it was max's stuff.,[they kiss]
1,10,7,0,janice,"i love this artichoke thing! oh, don't tell me what's in it, the diet starts tomorrow!",[laughs her janice laugh]
1,10,7,4,sandy,"hi, i'm sandy.",
1,10,7,6,sandy,"yeah. that's okay, right?",[joey and monica look at each other and shrug. ross enters with marcel on his shoulder]
1,10,7,18,sandy,"y'know, when i saw you at the store last week, it was probably the first time i ever mentally undressed an elf.",
1,10,7,20,sandy,yeah.,[they almost kiss and then joey realises her kids are staring at them]
1,10,7,23,janice,"there you are! haaah, you got away from me!",[startles them]
1,10,7,25,janice,"here, ross, take our picture. smile! you're on janice camera!",[hands him a camera and he starts snapping]
1,10,7,28,fun bobby,"hey, sorry i'm late. but my, uh, grandfather, he- died about two hours ago. but i-i-i couldn't get a flight out 'til tomorrow, so here i am!",
1,10,7,30,fun bobby,"it's gonna be an open casket, y'know, so at least i'll- i get to see him again.",
1,10,7,31,janice,"oh, i'm gonna blow this one up, and i'm gonna write 'reunited' in glitter.",[ross is still taking their photo]
1,10,7,33,janice,"oh, no. oh, no.",
1,10,7,35,janice,"oh my god. you listen to me, chandler, you listen to me. one of these times is just gonna be your last chance with me.",[she runs off] [ross is still taking photos]
1,10,7,38,max,yoko. i've decided to go to minsk without you.,[to david]
1,10,7,39,david,wow.,
1,10,7,40,max,it won't be the same- but it'll still be minsk. happy new year.,[walks off]
1,10,7,42,david,"yeah, i'm fine, i'm fine.",[phoebe leads david into a bedroom]
1,10,7,44,david,"no, i'm... not going to minsk.",
